uid,text_info
100163,1934 D. Finnigan d. Betty Boas 7-5 5-7 6-2
100164,1935 Mrs P. Carthew d. D. Finnigan 6-4 6-3
100165,1936 Audrey Wright d. E. Worrall 6-3 6-4
100166,1937 Freda Scott Underwood d. E. Worrall 6-2 6-3
100167,1938 (Nancy Palmer?) Mrs H. Edwards d. Mrs P. Carthew 3-6 6-4 6-4
100168,1914 R. Aighton d. Mrs Adamson 0-6 8-6 10-8
100169,1936 Billie Yorke (GB) d. Rosl Kraus (Aut) 6-1 6-3
100170,1937 Hilda Krahwinkel Sperling (Den) d. Simone Passemard Mathieu (Fra) 6-2 6-3
100171,1938 Gracyn Wheeler (US) d. Gaby Curtis (GB) 6-2 6-0
100172,1939 Gaby Curtis (GB) d. Josephine Harman (Irl) 6-2 6-4
100173,1946 (Mar 28-Apr 7) Simone Passemard Mathieu (Fra) d. Vera Mattar 6-1 6-1
100174,1947 Annelies Ullstein Bossi (Ita) d. Suzanne Pannetier (Fra) 5-7 7-5 6-2
100175,1948 Nelly Adamson Landry (Fra) d. Alice Weivers (Lux) 6-1 6-0
100176,1949 Nelly Adamson Landry (Fra) d. Joy Gannon (GB) 6-1 6-0
100177,1950 Pat Canning Todd (US) d. Gussie Moran (US) 1-6 6-3 6-0
100178,1951 Doris Hart (US) d. Louise Brough (US) 7-5 6-2
100179,1952 Betsy Venter Abbas d. Suzanne Mathieu 6-1 6-4
100180,1953 Dottie Head Knode (US) d. Pat Ward (GB) 6-0 6-2
100181,1954 Betsy Venter Abbas d. Totta Zehden (Frg) 4-6 6-2 6-3
100182,1955 Silvana Lazzarino (Ita) d. Angela Mortimer (GB) wo
100183,1956 Angela Mortimer (GB) d. Althea Gibson (US) 6-3 6-4
100184,1957 Edda Buding (Frg) d. Ilse Buding (Frg) 6-4 1-0 ret
100185,1958 Dottie Head Knode (US) d. Andrea Eid 6-1 6-0
100186,1959 Vera Puzejova (Tch) d. Eva Mannschatz Johannes (Gdr) 6-1 6-0
100187,1960 Margaret Hellyer (Aus) d. X. Vassiliadis 6-3 6-4
100188,1961 Vera Puzejova (Tch) d. Margaret Hellyer (Aus) 6-1 6-3
100189,1962 Donna Floyd (US) d. Lorna Cornell Cawthorn (GB) 9-7 7-9 6-2
100190,1963 Jill Blackman (Aus) d. Rita Bentley (GB) 6-2 2-6 6-2
100191,1964 Jan Lehane (Aus) d. Helga Schultze (Frg) 3-6 6-3 6-4
100192,1965 Madonna Schacht (Aus) d. Gail Sherriff (Aus) 6-3 2-6 7-5
100193,1966 Galina Baksheeva (USSR) d. Carole Caldwell Graebner (US) 7-5 6-2
100194,1967 Helga Schultze (Frg) d. Anna Dmitrieva (USSR) 4-6 6-1 8-6
100195,1968 Anna Dmitrieva (USSR) d. Robin Blakelock Lloyd (GB) 6-0 6-3
100196,1969 Nell Truman (GB) d. Olga Morozova (USSR) 6-3 2-6 6-3
100197,1970 Olga Morozova (USSR) d. Marcela Barochova (Tch) 6-4 6-0
100198,1971 Alena Palmeova West (Tch) d. Yelena Gorina Granaturova (USSR) 6-4 6-4
100199,1972 Alena Palmeova West (Tch) d. Nathalie Fuchs (Fra) 6-3 1-6 6-1
100200,1973 Nathalie Fuchs (Fra) d. Odile de Roubin (Fra) 6-2 6-0
100201,1974 Marina Chuvyrina (USSR) d. Marie Neumannova (Tch) 6-3 5-7 6-4
100202,1975 Sue Barker (GB) d. Jackie Fayter (GB) 5-7 7-5 6-3
100203,1929 G A Rose d. Sybil Stokes 7-5 6-3
100204,1932 Naomi Trentham d. Sheila Hewitt 7-5 3-6 7-5
100205,1933 Effie Hemmant Peters d. Betty Boas 6-3 6-2
100206,1934 D. Finnigan d. Betty Boas 7-5 5-7 6-2
100207,1935 Effie Hemmant Peters d. N Truman 6-3 6-8 6-2
100208,1938 Susan Noel d. Effie Hemmant Peters 6-1 6-2
100209,1939 Susan Noel d. Jean Saunders 6-2 6-1
100210,1950 Heather MacFarlane d. R. Leonard 6-4 1-6 6-2
100211,1952 R. Leonard d. G. Newman 6-2 6-1
100212,1970 Diane Riste d. P. Hardgrave 6-0 8-6
100213,1971 Susan Hudson-Beck (Rho) d. Diane Riste 6-3 6-2
100214,1972 Diane Riste d. Betty Norman 9-7 6-4
100215,1973 Diane Riste d. Betty Norman 6-1 6-2
100216,1975 Diane Riste d. Betty Norman 6-3 6-2
100217,1977 Betty Norman d. M. Bevan 7-5 5-7 6-4
100218,1978 Betty Norman d. J. Kurz (US) 7-5 1-6 7-5
100219,1981 Kim Hotston d. Betty Norman 2-6 6-3 9-7
100220,1980 Martina Navratilova (Tch) d. Hana Mandlikova (Tch) 5-7 6-3 6-2
100221,1981 Chris Evert Lloyd d. Martina Navratilova (Tch) 6-0 6-0
100222,1982 Chris Evert Lloyd d. Andrea Jaeger 6-3 6-1
100223,1983 Chris Evert Lloyd d. Carling Bassett (Can) 6-3 2-6 7-5
100224,1984 Martina Navratilova d. Chris Evert Lloyd 6-2 6-0
100225,1985 Zina Garrison d. Chris Evert Lloyd 6-4 6-3
100226,1986 Steffi Graf (Frg) d. Claudia Kohde-Kilsch (Frg) 6-4 5-7 7-6
100227,1987 Steffi Graf (Frg) d. Hana Mandlikova (Tch) 6-3 6-4
100228,1988 Martina Navratilova d. Gabriela Sabatini (Arg) 6-0 6-2
100229,1989 Gabriela Sabatini (Arg) d. Steffi Graf (Frg) 3-6 6-3 7-5
100230,1990 Steffi Graf (Frg) d. Arantxa Sanchez-Vicario (Esp) 6-1 6-0
100231,1991 Gabriela Sabatini (Arg) d. Steffi Graf (Ger) 7-5 7-6
100232,1992 Gabriela Sabatini (Arg) d. Steffi Graf (Ger) 6-2 1-6 6-3
100233,1993 Arantxa Sanchez-Vicario (Esp) d. Gabriela Sabatini (Arg) 6-2 5-7 6-2
100234,1994 Arantxa Sanchez-Vicario (Esp) d. Gabriela Sabatini (Arg) 6-1 6-4
